Gut Microbiota	Gut Microbiata NCBI ID	Gut Microbiota ID	Classification	Gene	Gene ID	Alteration	high/low-throughput
Eikenella	538	gm0765	genus	CXCL6	6372	inhibition	low-throughput
Eikenella	538	gm0765	genus	CCL20	6364	inhibition	low-throughput
Haemophilus parainfluenzae	729	gm0358	species	ANXA10	11199	activation	low-throughput
Haemophilus parainfluenzae	729	gm0358	species	ANXA10	11199	activation	low-throughput
Haemophilus parainfluenzae	729	gm0358	species	ANXA10	11199	activation	low-throughput
Streptococcus	1301	gm0624	genus	CXCL6	6372	inhibition	low-throughput
Streptococcus	1301	gm0624	genus	CCL20	6364	inhibition	low-throughput
Eubacterium rectale	39491	gm0316	species	DUOX2	50506	inhibition	low-throughput
Eubacterium rectale	39491	gm0316	species	CXCL6	6372	inhibition	low-throughput
Lachnospiraceae	186803	gm0386	family	EGFR	1956	inhibition	low-throughput
Lachnospiraceae	186803	gm0386	family	EGFR	1956	inhibition	low-throughput
Lachnospiraceae	186803	gm0386	family	EGFR	1956	inhibition	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	IL10	3586	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	IL12B	3593	inhibition	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	IL12A	3592	inhibition	low-throughput
Akkermansia muciniphila	239935	gm0030	species	IL10	3586	activation	low-throughput
Akkermansia muciniphila	239935	gm0030	species	IL12B	3593	inhibition	low-throughput
Akkermansia muciniphila	239935	gm0030	species	IL12A	3592	inhibition	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	CCR6	1235	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	CXCR6	10663	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	CXCR3	2833	activation	low-throughput
Escherichia coli Nissle 1917	316435	gm0941	strain	TJP2	9414	activation	low-throughput
Escherichia coli O127:H6 str. E2348/69	574521	gm0942	strain	TJP2	9414	activation	low-throughput
Escherichia coli Nissle 1917	316435	gm0941	strain	PRKCZ	5590	inhibition	low-throughput
Escherichia coli O127:H6 str. E2348/69	574521	gm0942	strain	PRKCZ	5590	inhibition	low-throughput
Firmicutes	1239	gm0332	phylum	FOS	2353	activation	low-throughput
Firmicutes	1239	gm0332	phylum	MAPK3	5595	activation	low-throughput
Firmicutes	1239	gm0332	phylum	MAPK1	5594	activation	low-throughput
Firmicutes	1239	gm0332	phylum	JUN	3725	activation	low-throughput
Fusobacteriia	203490	gm0343	class	FOS	2353	activation	low-throughput
Fusobacteriia	203490	gm0343	class	MAPK3	5595	activation	low-throughput
Fusobacteriia	203490	gm0343	class	MAPK1	5594	activation	low-throughput
Fusobacteriia	203490	gm0343	class	JUN	3725	activation	low-throughput
Streptococcus salivarius  JIM8772		gm0945	strain	CXCL8	3576	inhibition	low-throughput
Streptococcus salivarius  JIM8772		gm0945	strain	IL1B	3553	inhibition	low-throughput
Streptococcus salivarius  JIM8772		gm0945	strain	TLR5	7100	inhibition	low-throughput
Streptococcus salivarius  CIP102503		gm0946	strain	CXCL8	3576	inhibition	low-throughput
Streptococcus salivarius  CIP102503		gm0946	strain	IL1B	3553	inhibition	low-throughput
Streptococcus salivarius  CIP102503		gm0946	strain	TLR5	7100	inhibition	low-throughput
Akkermansia muciniphila ATCC BAA-835	349741	gm0951	strain	TLR2	7097	activation	low-throughput
Akkermansia muciniphila ATCC BAA-835	349741	gm0951	strain	TLR4	7099	activation	low-throughput
Lactobacillus rhamnosus	47715	gm0408	species	TJP1	7082	activation	low-throughput
Lactobacillus rhamnosus	47715	gm0408	species	CLDN1	9076	activation	low-throughput
Lactobacillus rhamnosus	47715	gm0408	species	OCLN	100506658	activation	low-throughput
Lactobacillus rhamnosus	47715	gm0408	species	CGN	57530	activation	low-throughput
Lactobacillus rhamnosus	47715	gm0408	species	DEFB4A	1673	inhibition	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	IL10	3586	activation	low-throughput
Faecalibacterium prausnitzii CNCM I-4543		gm0979	strain	IL10	3586	activation	low-throughput
Faecalibacterium prausnitzii L2-6	718252	gm0934	strain	IL10	3586	activation	low-throughput
Faecalibacterium prausnitzii CNCM I-4573		gm0980	strain	IL10	3586	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	CXCL8	3576	inhibition	low-throughput
Faecalibacterium prausnitzii L2-6	718252	gm0934	strain	CXCL8	3576	inhibition	low-throughput
