Gut Microbiota	Gut Microbiata NCBI ID	Gut Microbiota ID	Classification	Gene	Gene ID	Alteration	high/low-throughput
Lactobacillus paracasei	1597	gm0766	species	Cldn2	12738	inhibition	low-throughput
Lactobacillus paracasei	1597	gm0766	species	Stat3	20848	activation	low-throughput
Lactobacillus paracasei	1597	gm0766	species	Hdac9	79221	inhibition	low-throughput
Clostridium butyricum  CBM588		gm0889	strain	Dgat2	67800	inhibition	low-throughput
Lactobacillus crispatus M206119		gm0890	strain	Tjp1	21872	inhibition	low-throughput
Lactobacillus crispatus M206119		gm0890	strain	Il10	16153	inhibition	low-throughput
Lactobacillus crispatus M206119		gm0890	strain	Il1b	16176	activation	low-throughput
Lactobacillus crispatus M206119		gm0890	strain	Il6	16193	activation	low-throughput
Lactobacillus crispatus M206119		gm0890	strain	Tnf	21926	activation	low-throughput
Clostridium scindens	29347	gm0208	species	Cxcl16	66102	inhibition	low-throughput
Faecalibacterium prausnitzii  ATCC 27766		gm0899	strain	Hdac1	433759	inhibition	low-throughput
Faecalibacterium prausnitzii  ATCC 27766		gm0899	strain	Stat3	20848	inhibition	low-throughput
Faecalibacterium prausnitzii  ATCC 27766		gm0899	strain	Il6	16193	inhibition	low-throughput
Faecalibacterium prausnitzii  ATCC 27766		gm0899	strain	Il17a	16171	inhibition	low-throughput
Faecalibacterium prausnitzii  ATCC 27766		gm0899	strain	Foxp3	20371	activation	low-throughput
Bififidobacterium thetaiotaomicron  ATCC 29148		gm0913	strain	Klf4	16600	activation	low-throughput
Bififidobacterium thetaiotaomicron  ATCC 29148		gm0913	strain	Muc2	17831	activation	low-throughput
Bififidobacterium thetaiotaomicron  ATCC 29148		gm0913	strain	Muc4	140474	activation	low-throughput
Bififidobacterium thetaiotaomicron  ATCC 29148		gm0913	strain	C1galt1	94192	activation	low-throughput
Bififidobacterium thetaiotaomicron  ATCC 29148		gm0913	strain	B4galt4	56375	activation	low-throughput
Bififidobacterium thetaiotaomicron  ATCC 29148		gm0913	strain	St3gal4	20443	activation	low-throughput
Faecalibacterium prausnitzii DSM 17677		gm0914	strain	Klf4	16600	activation	low-throughput
Helicobacter pylori	210	gm0367	species	Mir21a	387140	activation	low-throughput
Salmonella enterica	28901	gm0692	species	Mir21a	387140	activation	low-throughput
Mycobacterium	1763	gm0786	genus	Mir21a	387140	activation	low-throughput
Clostridium butyricum CGMCC0313-1		gm0916	strain	Mmp9	17395	inhibition	low-throughput
Clostridium butyricum CGMCC0313-1		gm0916	strain	Ighe	380792	inhibition	low-throughput
Clostridium butyricum CGMCC0313-1		gm0916	strain	Tnf	21926	inhibition	low-throughput
Clostridium butyricum CGMCC0313-1		gm0916	strain	Ighg1	16017	inhibition	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	Il10	16153	activation	low-throughput
Faecalibacterium prausnitzii M21/2	411485	gm0933	strain	Il10	16153	activation	low-throughput
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Il10	16153	activation	low-throughput
Faecalibacterium prausnitzii L2-6	718252	gm0934	strain	Il10	16153	activation	low-throughput
Faecalibacterium prausnitzii HTF-F	853	gm0935	strain	Il10	16153	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	Tnf	21926	activation	low-throughput
Faecalibacterium prausnitzii M21/2	411485	gm0933	strain	Tnf	21926	activation	low-throughput
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Tnf	21926	activation	low-throughput
Faecalibacterium prausnitzii L2-6	718252	gm0934	strain	Tnf	21926	activation	low-throughput
Faecalibacterium prausnitzii HTF-F		gm0935	strain	Tnf	21926	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	Il6	16193	activation	low-throughput
Faecalibacterium prausnitzii M21/2	411485	gm0933	strain	Il6	16193	activation	low-throughput
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Il6	16193	activation	low-throughput
Faecalibacterium prausnitzii L2-6	718252	gm0934	strain	Il6	16193	activation	low-throughput
Faecalibacterium prausnitzii HTF-F		gm0935	strain	Il6	16193	activation	low-throughput
Faecalibacterium prausnitzii A2-165	411483	gm0932	strain	Il1b	16176	activation	low-throughput
Faecalibacterium prausnitzii M21/2	411485	gm0933	strain	Il1b	16176	activation	low-throughput
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Il1b	16176	activation	low-throughput
Faecalibacterium prausnitzii L2-6	718252	gm0934	strain	Il1b	16176	activation	low-throughput
Faecalibacterium prausnitzii HTF-F		gm0935	strain	Il1b	16176	activation	low-throughput
Eubacterium hallii L2-7		gm0937	strain	Il10	16153	activation	low-throughput
Eubacterium hallii L2-7		gm0937	strain	Il6	16193	activation	low-throughput
Eubacterium hallii L2-7		gm0937	strain	Il1b	16176	activation	low-throughput
Eubacterium hallii L2-7		gm0937	strain	Tnf	21926	activation	low-throughput
Eubacterium hallii L2-7		gm0937	strain	Il12p70		activation	low-throughput
Eubacterium rectale DSM 17629	657318	gm0938	strain	Il1b	16176	activation	low-throughput
Megamonas rupellenesis Mag1B		gm0939	strain	Il6	16193	activation	low-throughput
Megamonas rupellenesis Mag1B		gm0939	strain	Il10	16153	activation	low-throughput
Megamonas rupellenesis Mag1B		gm0939	strain	Tnf	21926	activation	low-throughput
Megamonas rupellenesis Mag1B		gm0939	strain	Il12p70		activation	low-throughput
Lactobacillus plantarum WCFS1	220668	gm0940	strain	Il12p70		activation	low-throughput
Enterococcus faecalis OG1RF	474186	gm0943	strain	Mmp9	17395	activation	low-throughput
Butyrivibrio fibrisolvens	831	gm0782	species	Prkaa1	105787	activation	low-throughput
Butyrivibrio fibrisolvens	831	gm0782	species	Angptl4	57875	activation	low-throughput
Butyrivibrio fibrisolvens	831	gm0782	species	Gpx2	14776	inhibition	low-throughput
Butyrivibrio fibrisolvens	831	gm0782	species	Apob	238055	inhibition	low-throughput
Butyrivibrio fibrisolvens	831	gm0782	species	Aqp4	11829	inhibition	low-throughput
Butyrivibrio fibrisolvens	831	gm0782	species	Pla2g4c	232889	inhibition	low-throughput
Butyrivibrio fibrisolvens	831	gm0782	species	Prkaa2	108079	activation	low-throughput
Clostridium	1485	gm0187	genus	Prkaa2	108079	activation	low-throughput
Clostridium	1485	gm0187	genus	Prkaa1	105787	activation	low-throughput
Eubacterium	1730	gm0309	genus	Prkaa2	108079	activation	low-throughput
Eubacterium	1730	gm0309	genus	Prkaa1	105787	activation	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Srebf1	20787	inhibition	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Scd1	20249	inhibition	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Fasn	14104	inhibition	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Adrb3	11556	activation	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Pnpla2	66853	activation	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Cpt2	12896	activation	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Acox1	11430	activation	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Ppargc1a	19017	activation	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Cd68	12514	inhibition	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Ccl2	20296	inhibition	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Il6	16193	inhibition	low-throughput
Bacteroides thetaiotaomicron ATCC 29148D-5		gm0944	strain	Il1b	16176	inhibition	low-throughput
Enterobacteriaceae	543	gm0282	family	Slco4c1	227394	activation	low-throughput
Enterobacteriaceae	543	gm0282	family	Tnf	21926	activation	low-throughput
Enterobacteriaceae	543	gm0282	family	Ccl2	20296	activation	low-throughput
Enterobacteriaceae	543	gm0282	family	Tgfb1	21803	activation	low-throughput
Enterobacteriaceae	543	gm0282	family	Fn1	14268	activation	low-throughput
Enterobacteriaceae	543	gm0282	family	Col1a1	12842	activation	low-throughput
Escherichia coli Nissle 1917	316435	gm0941	strain	Cldn1	12737	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Klf4	16600	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Tff3	21786	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Retnlb	57263	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Muc2	17831	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	B3gnt6	272411	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	C1galt1	94192	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Gcnt1	14537	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Fut2	14344	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	St6gal1	20440	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Atg16l1	77040	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Atg5	11793	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Becn1	56208	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Lamp2	16784	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Map1lc3a	66734	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Muc2	17831	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Il22	50929	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Il33	77125	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Il13	16163	activation	low-throughput
Escherichia coli M-17		gm0964	strain	Tnf	21926	inhibition	low-throughput
Escherichia coli M-17		gm0964	strain	Il1b	16176	inhibition	low-throughput
Escherichia coli M-17		gm0964	strain	Il6	16193	inhibition	low-throughput
Lactobacillus reuteri D8		gm0967	strain	Il22	50929	activation	low-throughput
Lactobacillus rhamnosus OLL2838		gm0971	strain	Cxcl15	20309	inhibition	low-throughput
Lactobacillus rhamnosus OLL2838		gm0971	strain	Tjp1	21872	activation	low-throughput
Lactobacillus rhamnosus OLL2838		gm0971	strain	Mylk3	213435	activation	low-throughput
Enterococcus durans TN-3		gm0974	strain	Il1b	16176	inhibition	low-throughput
Enterococcus durans TN-3		gm0974	strain	Il6	16193	inhibition	low-throughput
Enterococcus durans TN-3		gm0974	strain	Il17a	16171	inhibition	low-throughput
Enterococcus durans TN-3		gm0974	strain	Ifng	15978	inhibition	low-throughput
Enterococcus durans TN-3		gm0974	strain	Il10	16153	activation	low-throughput
Escherichia	561	gm0304	genus	Gcg	14526	inhibition	low-throughput
Bacteroides	816	gm0077	genus	Gcg	14526	inhibition	low-throughput
Clostridium	1485	gm0187	genus	Gcg	14526	inhibition	low-throughput
Christensenellaceae	99719	gm0174	family	Tjp1	21872	activation	low-throughput
Lactobacillus	1578	gm0393	genus	Tjp1	21872	activation	low-throughput
Blautia	572511	gm0117	genus	Tjp1	21872	activation	low-throughput
Nippostrongylus brasiliensis	27835	gm0862	species	Sucnr1	84112	activation	low-throughput
Tritrichomonas	5723	gm0863	genus	Sucnr1	84112	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Tjp1	21872	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	HDAC3	8841	inhibition	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Il10	16153	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Tgfb1	21803	activation	low-throughput
Enterococcus durans	53345	gm0742	species	Il1b	16176	inhibition	low-throughput
Enterococcus durans	53345	gm0742	species	Tnf	21926	inhibition	low-throughput
lactobacilli	1578	gm0870	genus	Il22	50929	activation	low-throughput
Lactobacillus casei shirota		gm0953	strain	Acta2	11475	inhibition	low-throughput
Lactobacillus casei shirota		gm0953	strain	Timp1	21857	inhibition	low-throughput
Lactobacillus casei shirota		gm0953	strain	Pparg	19016	inhibition	low-throughput
Lactobacillus casei shirota		gm0953	strain	Tnf	21926	inhibition	low-throughput
Clostridium	1485	gm0187	genus	Il6	16193	activation	low-throughput
Clostridium	1485	gm0187	genus	Tnf	21926	activation	low-throughput
Clostridium	1485	gm0187	genus	Il1b	16176	activation	low-throughput
Clostridium	1485	gm0187	genus	Nos2	18126	activation	low-throughput
Clostridium	1485	gm0187	genus	Chrm2	243764	activation	low-throughput
Clostridium	1485	gm0187	genus	Tlr2	24088	activation	low-throughput
Bacteroides fragilis	817	gm0082	species	Il10	16153	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Tph1	219990	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Htr2a	15558	activation	low-throughput
Bifidobacterium dentium ATCC 27678	473819	gm0952	strain	Htr4	15562	activation	low-throughput
"
Clostridium butyricum"	1492	gm1035	species	Tjp1	21872	activation	low-throughput
"
Clostridium butyricum"	1492	gm1035	species	Cldn2	12738	inhibition	low-throughput
"
Clostridium butyricum"	1492	gm1035	species	Cldn1	12737	activation	low-throughput
"
Clostridium butyricum"	1492	gm1035	species	Ocln	18260	activation	low-throughput
"
Clostridium butyricum"	1492	gm1035	species	Mmp9	17395	inhibition	low-throughput
"
Clostridium butyricum"	1492	gm1035	species	Dao	13142	inhibition	low-throughput
"
Clostridium butyricum"	1492	gm1035	species	Tlr4	21898	inhibition	low-throughput
"
Clostridium butyricum"	1492	gm1035	species	Ly6g	546644	inhibition	low-throughput
"
Clostridium butyricum"	1492	gm1035	species	Tnf	21926	inhibition	low-throughput
"
Butyricicoccus pullicaecorum"	501571	gm1039	species	Ffar2	233079	activation	low-throughput
"
Butyricicoccus pullicaecorum"	501571	gm1039	species	Slc5a8	216225	activation	low-throughput
"
Butyricicoccus pullicaecorum"	501571	gm1039	species	Ffar2	233079	activation	low-throughput
Bacteroides	816	gm0077	genus	Nr1h4	20186	activation	low-throughput
Bacteroides	816	gm0077	genus	Fgf15	14170	activation	low-throughput
Bacteroides	816	gm0077	genus	Fgfr4	14186	activation	low-throughput
Bacteroides	816	gm0077	genus	Cyp7a1	13122	inhibition	low-throughput
Bacteroides	816	gm0077	genus	Sirpa	19261	inhibition	low-throughput
Bacteroides	816	gm0077	genus	Cpt1b	12895	inhibition	low-throughput
Bacteroides	816	gm0077	genus	Fas	14102	activation	low-throughput
Bacteroides intestinalis  AM-0		gm1040	strain	Nr1h4	20186	activation	low-throughput
Bacteroides intestinalis  AM-0		gm1040	strain	Fgf15	14170	activation	low-throughput
Bacteroides intestinalis  AM-0		gm1040	strain	Fgfr4	14186	activation	low-throughput
Bacteroides intestinalis  AM-0		gm1040	strain	Cyp7a1	13122	inhibition	low-throughput
Bacteroides intestinalis  AM-0		gm1040	strain	Sirpa	19261	inhibition	low-throughput
Bacteroides intestinalis  AM-0		gm1040	strain	Cpt1b	12895	inhibition	low-throughput
Bacteroides intestinalis  AM-0		gm1040	strain	Fas	14102	activation	low-throughput
Bacteroidaceae	815	gm0072	family	Nr1h4	20186	activation	low-throughput
Bacteroidaceae	815	gm0072	family	Fgf15	14170	activation	low-throughput
Bacteroidaceae	815	gm0072	family	Fgfr4	14186	activation	low-throughput
Bacteroidaceae	815	gm0072	family	Cyp7a1	13122	inhibition	low-throughput
Bacteroidaceae	815	gm0072	family	Sirpa	19261	inhibition	low-throughput
Bacteroidaceae	815	gm0072	family	Cpt1b	12895	inhibition	low-throughput
Bacteroidaceae	815	gm0072	family	Fas	14102	activation	low-throughput
Bacteroides intestinalis	329854	gm0872	species	Foxp3	20371	activation	low-throughput
Collinsella aerofaciens	74426	gm0829	species	Foxp3	20371	activation	low-throughput
Bacteroides caccae	47678	gm0079	species	Foxp3	20371	activation	low-throughput
Bacteroides thetaiotaomicron	818	gm0087	species	Foxp3	20371	activation	low-throughput
Phocaeicola vulgatus	821	gm0874	species	Foxp3	20371	activation	low-throughput
Phocaeicola massiliensis	204516	gm0875	species	Foxp3	20371	activation	low-throughput
Parabacteroides distasonis	823	gm0496	species	Foxp3	20371	activation	low-throughput
Escherichia coli	562	gm0305	species	Foxp3	20371	activation	low-throughput
Firmicutes	1239	gm0332	phylum	Ffar3	233080	activation	low-throughput
Firmicutes	1239	gm0332	phylum	Ffar2	233079	activation	low-throughput
Firmicutes	1239	gm0332	phylum	Nfkb1	18033	activation	low-throughput
Firmicutes	1239	gm0332	phylum	Pdcd1lg2	58205	inhibition	low-throughput
Firmicutes	1239	gm0332	phylum	Cd86	12524	inhibition	low-throughput
Firmicutes	1239	gm0332	phylum	Cd40	21939	inhibition	low-throughput
Firmicutes	1239	gm0332	phylum	Il6	16193	inhibition	low-throughput
Firmicutes	1239	gm0332	phylum	Il12b	16160	inhibition	low-throughput
Blautia hydrogenotrophica	53443	gm0876	species	Ffar3	233080	activation	low-throughput
Blautia hydrogenotrophica	53443	gm0876	species	Ffar2	233079	activation	low-throughput
Blautia hydrogenotrophica	53443	gm0876	species	Nfkb1	18033	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ffar3	233080	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ffar2	233079	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Nfkb1	18033	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Hcar2	80885	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Foxp3	20371	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Cd40	21939	inhibition	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Il6	16193	inhibition	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Il12b	16160	inhibition	low-throughput
Eubacterium rectale	39491	gm0316	species	Ffar3	233080	activation	low-throughput
Eubacterium rectale	39491	gm0316	species	Ffar2	233079	activation	low-throughput
Eubacterium rectale	39491	gm0316	species	Nfkb1	18033	activation	low-throughput
Eubacterium rectale	39491	gm0316	species	Hcar2	80885	activation	low-throughput
Eubacterium rectale	39491	gm0316	species	Foxp3	20371	activation	low-throughput
