Gut Microbiota	Gut Microbiata NCBI ID	Gut Microbiota ID	Classification	Substrate	Substrate PubChem CID	Substrate  HMDB ID	Substrate ChEBI ID	Metabolite	Metabolite PubChem CID	Metabolite HMDB ID	Metabolite ChEBI ID
Oscillibacter	459786	gm0484	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Phenylalanine	6140	HMDB0000159	CHEBI:17295
Oscillibacter	459786	gm0484	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Glutamic acid	33032	HMDB0000148	CHEBI:16015
Oscillibacter	459786	gm0484	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Oscillibacter	459786	gm0484	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Cholic acid	221493	HMDB0000619	CHEBI:16359
Oscillibacter	459786	gm0484	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Eicosapentaenoic acid	446284	HMDB0001999	CHEBI:28364
Oscillibacter	459786	gm0484	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Chenodeoxycholic acid	10133	HMDB0000518	CHEBI:16755
Oscillibacter	459786	gm0484	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Desoxycortone	6166	HMDB0000016	CHEBI:16973
Oscillibacter	459786	gm0484	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	7-Dehydrocholesterol	439423	HMDB0000032	CHEBI:17759
Oscillibacter	459786	gm0484	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Retinol	445354	HMDB0000305	CHEBI:17336
Lachnospiraceae	186803	gm0386	family	Cholesterol	5997	HMDB0000067	CHEBI:16113	Phenylalanine	6140	HMDB0000159	CHEBI:17295
Lachnospiraceae	186803	gm0386	family	Cholesterol	5997	HMDB0000067	CHEBI:16113	Glutamic acid	33032	HMDB0000148	CHEBI:16015
Lachnospiraceae	186803	gm0386	family	Cholesterol	5997	HMDB0000067	CHEBI:16113	3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Lachnospiraceae	186803	gm0386	family	Cholesterol	5997	HMDB0000067	CHEBI:16113	Cholic acid	221493	HMDB0000619	CHEBI:16359
Lachnospiraceae	186803	gm0386	family	Cholesterol	5997	HMDB0000067	CHEBI:16113	Eicosapentaenoic acid	446284	HMDB0001999	CHEBI:28364
Lachnospiraceae	186803	gm0386	family	Cholesterol	5997	HMDB0000067	CHEBI:16113	Chenodeoxycholic acid	10133	HMDB0000518	CHEBI:16755
Lachnospiraceae	186803	gm0386	family	Cholesterol	5997	HMDB0000067	CHEBI:16113	Desoxycortone	6166	HMDB0000016	CHEBI:16973
Lachnospiraceae	186803	gm0386	family	Cholesterol	5997	HMDB0000067	CHEBI:16113	7-Dehydrocholesterol	439423	HMDB0000032	CHEBI:17759
Lachnospiraceae	186803	gm0386	family	Cholesterol	5997	HMDB0000067	CHEBI:16113	Retinol	445354	HMDB0000305	CHEBI:17336
Clostridium IV		gm0202	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Phenylalanine	6140	HMDB0000159	CHEBI:17295
Clostridium IV		gm0202	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Glutamic acid	33032	HMDB0000148	CHEBI:16015
Clostridium IV		gm0202	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Clostridium IV		gm0202	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Cholic acid	221493	HMDB0000619	CHEBI:16359
Clostridium IV		gm0202	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Eicosapentaenoic acid	446284	HMDB0001999	CHEBI:28364
Clostridium IV		gm0202	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Chenodeoxycholic acid	10133	HMDB0000518	CHEBI:16755
Clostridium IV		gm0202	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Desoxycortone	6166	HMDB0000016	CHEBI:16973
Clostridium IV		gm0202	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	7-Dehydrocholesterol	439423	HMDB0000032	CHEBI:17759
Clostridium IV		gm0202	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Retinol	445354	HMDB0000305	CHEBI:17336
Clostridium XlVa		gm0764	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Phenylalanine	6140	HMDB0000159	CHEBI:17295
Clostridium XlVa		gm0764	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Glutamic acid	33032	HMDB0000148	CHEBI:16015
Clostridium XlVa		gm0764	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Clostridium XlVa		gm0764	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Cholic acid	221493	HMDB0000619	CHEBI:16359
Clostridium XlVa		gm0764	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Eicosapentaenoic acid	446284	HMDB0001999	CHEBI:28364
Clostridium XlVa		gm0764	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Chenodeoxycholic acid	10133	HMDB0000518	CHEBI:16755
Clostridium XlVa		gm0764	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Desoxycortone	6166	HMDB0000016	CHEBI:16973
Clostridium XlVa		gm0764	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	7-Dehydrocholesterol	439423	HMDB0000032	CHEBI:17759
Clostridium XlVa		gm0764	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Retinol	445354	HMDB0000305	CHEBI:17336
Prevotella	838	gm0535	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Myristic acid	11005	HMDB0000806	CHEBI:28875
Prevotella	838	gm0535	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	l-Isoleucine	6306	HMDB0000172	CHEBI:17191
Prevotella	838	gm0535	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Benzoic acid	243	HMDB0001870	CHEBI:30746
